year,state,county_name,democratic_pres_votes,other_pres_votes,republican_pres_votes,total_pres_votes
2016,alabama,blount,2156.0,573.0,22859.0,25588.0
2016,alabama,bullock,3530.0,40.0,1140.0,4710.0
2016,alabama,butler,3726.0,105.0,4901.0,8732.0
2016,alabama,calhoun,13242.0,1757.0,32865.0,47864.0
2016,alabama,chambers,5784.0,273.0,7843.0,13900.0
2016,alabama,cherokee,1547.0,233.0,8953.0,10733.0
2016,alabama,chilton,2911.0,377.0,15081.0,18369.0
2016,alabama,choctaw,3109.0,77.0,4106.0,7292.0
2016,alabama,clarke,5749.0,142.0,7140.0,13031.0
2016,alabama,clay,1237.0,142.0,5245.0,6624.0
2016,alabama,cleburne,684.0,145.0,5764.0,6593.0
2016,alabama,coffee,4221.0,671.0,15875.0,20767.0
2016,alabama,colbert,7312.0,857.0,16746.0,24915.0
2016,alabama,conecuh,3080.0,85.0,3420.0,6585.0
2016,alabama,coosa,1782.0,89.0,3381.0,5252.0
2016,alabama,covington,2387.0,286.0,13267.0,15940.0
2016,alabama,crenshaw,1664.0,90.0,4513.0,6267.0
2016,alabama,cullman,3798.0,1086.0,32989.0,37873.0
2016,alabama,dale,4413.0,528.0,13808.0,18749.0
2016,alabama,dallas,12836.0,167.0,5789.0,18792.0
2016,alabama,dekalb,3622.0,799.0,21405.0,25826.0
2016,alabama,elmore,8443.0,1183.0,27634.0,37260.0
2016,alabama,escambia,4605.0,305.0,9935.0,14845.0
2016,alabama,etowah,10442.0,1369.0,32353.0,44164.0
2016,alabama,fayette,1362.0,175.0,6712.0,8249.0
2016,alabama,franklin,2197.0,377.0,9466.0,12040.0
2016,alabama,geneva,1525.0,239.0,9994.0,11758.0
2016,alabama,greene,4013.0,29.0,838.0,4880.0
2016,alabama,hale,4775.0,92.0,3173.0,8040.0
2016,alabama,henry,2292.0,148.0,5632.0,8072.0
2016,alabama,houston,10664.0,1247.0,30728.0,42639.0
2016,alabama,jackson,3673.0,639.0,16672.0,20984.0
2016,alabama,jefferson,156873.0,12550.0,134768.0,304191.0
