County,Total_Population_County,Total_Population_Medicaid,Male_Total_Medicaid,Male_Under_19_Medicaid,Male_Under_19_With_Medicaid,Male_Under_19_No_Medicaid,Male_19_to_64_Medicaid,Male_19_to_64_With_Medicaid,Male_19_to_64_No_Medicaid,Male_65_and_Over_Medicaid,Male_65_and_Over_With_Medicaid,Male_65_and_Over_No_Medicaid,Female_Total_Medicaid,Female_Under_19_Medicaid,Female_Under_19_With_Medicaid,Female_Under_19_No_Medicaid,Female_19_to_64_Medicaid,Female_19_to_64_With_Medicaid,Female_19_to_64_No_Medicaid,Female_65_and_Over_Medicaid,Female_65_and_Over_With_Medicaid,Female_65_and_Over_No_Medicaid,state,county,Year
"Allen County, Ohio",104357,102066,50579,13510,5995,7515,30923,2631,28292,6146,427,5719,51487,12059,4931,7128,30976,5572,25404,8452,605,7847,39,003,2009
"Ashtabula County, Ohio",100767,97824,48168,12095,4963,7132,29614,3011,26603,6459,1037,5422,49656,11724,4962,6762,29908,4022,25886,8024,1021,7003,39,007,2009
"Belmont County, Ohio",68066,61016,31374,6694,1913,4781,20135,1802,18333,4545,652,3893,29642,6465,2017,4448,20019,4046,15973,3158,401,2757,39,013,2009
"Butler County, Ohio",363184,360713,177355,46319,11876,34443,114265,9166,105099,16771,1313,15458,183358,43426,12365,31061,117158,13583,103575,22774,2297,20477,39,017,2009
"Clark County, Ohio",139671,137585,66440,17192,7573,9619,40361,5265,35096,8887,1198,7689,71145,15725,6862,8863,43295,7351,35944,12125,1748,10377,39,023,2009
"Clermont County, Ohio",196364,194809,96118,25682,7670,18012,60794,4047,56747,9642,626,9016,98691,24310,5809,18501,62027,5706,56321,12354,901,11453,39,025,2009
"Columbiana County, Ohio",107722,104815,51764,11944,4626,7318,32522,4012,28510,7298,1258,6040,53051,11238,4009,7229,32284,4479,27805,9529,1541,7988,39,029,2009
"Cuyahoga County, Ohio",1275709,1255283,595919,148446,56110,92336,373669,39032,334637,73804,10970,62834,659364,143745,58617,85128,406360,63912,342448,109259,17129,92130,39,035,2009
"Delaware County, Ohio",168708,167766,83545,24455,2125,22330,52542,1230,51312,6548,417,6131,84221,22820,3250,19570,53313,2098,51215,8088,1064,7024,39,041,2009
"Erie County, Ohio",76963,74539,36315,8624,2000,6624,22090,1333,20757,5601,834,4767,38224,8303,2999,5304,23196,2877,20319,6725,617,6108,39,043,2009
"Fairfield County, Ohio",143712,141295,69554,18427,6054,12373,43179,3652,39527,7948,795,7153,71741,18603,5376,13227,43826,5265,38561,9312,932,8380,39,045,2009
"Franklin County, Ohio",1150122,1141932,558879,140792,46610,94182,372173,23530,348643,45914,5681,40233,583053,134711,46832,87879,383152,42671,340481,65190,9110,56080,39,049,2009
"Geauga County, Ohio",99060,97102,47311,12730,1799,10931,28447,1029,27418,6134,40,6094,49791,12226,1403,10823,29749,1231,28518,7816,400,7416,39,055,2009
"Greene County, Ohio",159823,155562,75132,18084,5139,12945,48381,2125,46256,8667,735,7932,80430,16498,5374,11124,52793,5579,47214,11139,1354,9785,39,057,2009
"Hamilton County, Ohio",855062,844743,404624,101281,29225,72056,259609,14394,245215,43734,4979,38755,440119,99054,31656,67398,276152,26744,249408,64913,7940,56973,39,061,2009
"Hancock County, Ohio",74538,74136,36023,8641,1805,6836,23059,985,22074,4323,627,3696,38113,8358,1442,6916,23707,1611,22096,6048,431,5617,39,063,2009
"Jefferson County, Ohio",67691,67310,32227,6836,2847,3989,20060,1647,18413,5331,615,4716,35083,6875,2918,3957,20912,3502,17410,7296,741,6555,39,081,2009
"Lake County, Ohio",236775,235221,116106,27236,5053,22183,73445,3248,70197,15425,1136,14289,119115,24541,3903,20638,74208,4800,69408,20366,2072,18294,39,085,2009
"Licking County, Ohio",158488,157453,77429,19606,5064,14542,48851,2916,45935,8972,778,8194,80024,18958,5112,13846,49581,5544,44037,11485,1372,10113,39,089,2009
"Lorain County, Ohio",305707,298221,144278,37215,12810,24405,90161,6866,83295,16902,2600,14302,153943,35886,12132,23754,95334,11716,83618,22723,2499,20224,39,093,2009
"Lucas County, Ohio",463493,458721,220870,55482,21474,34008,141583,14304,127279,23805,3353,20452,237851,54076,21316,32760,149184,25893,123291,34591,6101,28490,39,095,2009
"Mahoning County, Ohio",236735,231554,110426,26311,10319,15992,68286,6639,61647,15829,1639,14190,121128,25103,10501,14602,72608,12359,60249,23417,2976,20441,39,099,2009
"Marion County, Ohio",65655,60826,29663,7256,2579,4677,18699,1605,17094,3708,404,3304,31163,7122,2949,4173,18808,3282,15526,5233,863,4370,39,101,2009
"Medina County, Ohio",174035,173001,85463,22121,2425,19696,53778,1927,51851,9564,612,8952,87538,21746,3331,18415,54241,3413,50828,11551,720,10831,39,103,2009
"Miami County, Ohio",101256,98353,48600,11568,3092,8476,30530,1823,28707,6502,305,6197,49753,11118,3361,7757,30608,2772,27836,8027,431,7596,39,109,2009
"Montgomery County, Ohio",532562,523547,250342,61896,20803,41093,156454,12672,143782,31992,3167,28825,273205,59656,19738,39918,168474,23573,144901,45075,5234,39841,39,113,2009
"Muskingum County, Ohio",84884,83455,39972,10032,2985,7047,24658,2669,21989,5282,516,4766,43483,9702,3331,6371,26521,3579,22942,7260,1144,6116,39,119,2009
"Portage County, Ohio",157530,156207,76002,17247,5008,12239,50369,3361,47008,8386,532,7854,80205,15825,3616,12209,53666,4653,49013,10714,1163,9551,39,133,2009
"Richland County, Ohio",124490,117367,56597,14167,5432,8735,34454,3700,30754,7976,801,7175,60770,14236,5993,8243,35912,6293,29619,10622,1255,9367,39,139,2009
"Ross County, Ohio",75972,68987,33150,8260,2392,5868,20625,2552,18073,4265,298,3967,35837,8476,3576,4900,21654,3313,18341,5707,878,4829,39,141,2009
"Scioto County, Ohio",76334,74215,35383,8895,4413,4482,22039,2815,19224,4449,927,3522,38832,8426,3814,4612,23661,5531,18130,6745,1803,4942,39,145,2009
"Stark County, Ohio",379466,372093,180425,44534,18026,26508,112192,9974,102218,23699,2353,21346,191668,41677,14163,27514,118054,18643,99411,31937,4061,27876,39,151,2009
"Summit County, Ohio",542405,537678,258546,61834,15118,46716,165722,11985,153737,30990,3504,27486,279132,61822,18476,43346,173334,21520,151814,43976,6178,37798,39,153,2009
"Trumbull County, Ohio",210157,205435,99221,23552,9570,13982,61002,6031,54971,14667,1534,13133,106214,22390,8801,13589,64391,8560,55831,19433,2282,17151,39,155,2009
"Tuscarawas County, Ohio",91137,90281,44573,11094,2978,8116,27330,1432,25898,6149,831,5318,45708,10733,3277,7456,27043,3290,23753,7932,1565,6367,39,157,2009
"Warren County, Ohio",210712,203730,102102,28669,4469,24200,64452,2689,61763,8981,407,8574,101628,26957,2212,24745,63296,3199,60097,11375,935,10440,39,165,2009
"Wayne County, Ohio",114222,113087,55461,14587,3360,11227,34179,1895,32284,6695,748,5947,57626,14361,3595,10766,34587,3792,30795,8678,890,7788,39,169,2009
"Wood County, Ohio",125380,123763,59789,12925,3476,9449,40586,2425,38161,6278,802,5476,63974,13762,3599,10163,42511,3316,39195,7701,1085,6616,39,173,2009
"Canadian County, Oklahoma",109668,106801,52209,14349,3112,11237,32572,1407,31165,5288,796,4492,54592,14309,1854,12455,33492,2146,31346,6791,859,5932,40,017,2009
"Cleveland County, Oklahoma",244589,237824,117147,28086,7166,20920,78663,2676,75987,10398,1063,9335,120677,25776,6722,19054,81849,4738,77111,13052,1165,11887,40,027,2009
"Comanche County, Oklahoma",113228,95051,41925,14586,4966,9620,21990,1020,20970,5349,765,4584,53126,14482,4440,10042,32155,3194,28961,6489,1122,5367,40,031,2009
"Creek County, Oklahoma",70244,69044,33847,8917,3558,5359,20696,1539,19157,4234,1112,3122,35197,8729,3491,5238,20879,1741,19138,5589,1163,4426,40,037,2009
