"","State","Year","Governor","Senate","House","total_gov"
"X1612","Illinois",2016,"R","D","D","Split"
"X1712","Illinois",2017,"R","D","D","Split"
"X1812","Illinois",2018,"R","D","D","Split"
"X1912","Illinois",2019,"D","D","D","D"
"X2012","Illinois",2020,"D","D","D","D"
"X2112","Illinois",2021,"D","D","D","D"
"X2212","Illinois",2022,"D","D","D","D"
"X2312","Illinois",2023,"D","D","D","D"
"X2412","Illinois",2024,"D","D","D","D"
"X2512","Illinois",2025,"D","D","D","D"
"X1013","Indiana",2010,"R","R","D","Split"
"X1113","Indiana",2011,"R","R","R","R"
"X1213","Indiana",2012,"R","R","R","R"
"X1313","Indiana",2013,"R","R","R","R"
"X1413","Indiana",2014,"R","R","R","R"
"X1513","Indiana",2015,"R","R","R","R"
"X1613","Indiana",2016,"R","R","R","R"
"X1713","Indiana",2017,"R","R","R","R"
"X1813","Indiana",2018,"R","R","R","R"
"X1913","Indiana",2019,"R","R","R","R"
"X2013","Indiana",2020,"R","R","R","R"
"X2113","Indiana",2021,"R","R","R","R"
"X2213","Indiana",2022,"R","R","R","R"
"X2313","Indiana",2023,"R","R","R","R"
"X2413","Indiana",2024,"R","R","R","R"
"X2513","Indiana",2025,"R","R","R","R"
"X1014","Iowa",2010,"D","D","D","D"
"X1114","Iowa",2011,"R","D","R","Split"
"X1214","Iowa",2012,"R","D","R","Split"
"X1314","Iowa",2013,"R","D","R","Split"
"X1414","Iowa",2014,"R","D","R","Split"
"X1514","Iowa",2015,"R","D","R","Split"
"X1614","Iowa",2016,"R","D","R","Split"
"X1714","Iowa",2017,"R","R","R","R"
"X1814","Iowa",2018,"R","R","R","R"
"X1914","Iowa",2019,"R","R","R","R"
"X2014","Iowa",2020,"R","R","R","R"
"X2114","Iowa",2021,"R","R","R","R"
"X2214","Iowa",2022,"R","R","R","R"
"X2314","Iowa",2023,"R","R","R","R"
"X2414","Iowa",2024,"R","R","R","R"
"X2514","Iowa",2025,"R","R","R","R"
"X1015","Kansas",2010,"D","R","R","Split"
"X1115","Kansas",2011,"R","R","R","R"
"X1215","Kansas",2012,"R","R","R","R"
"X1315","Kansas",2013,"R","R","R","R"
"X1415","Kansas",2014,"R","R","R","R"
"X1515","Kansas",2015,"R","R","R","R"
"X1615","Kansas",2016,"R","R","R","R"
"X1715","Kansas",2017,"R","R","R","R"
"X1815","Kansas",2018,"R","R","R","R"
"X1915","Kansas",2019,"D","R","R","Split"
"X2015","Kansas",2020,"D","R","R","Split"
"X2115","Kansas",2021,"D","R","R","Split"
"X2215","Kansas",2022,"D","R","R","Split"
"X2315","Kansas",2023,"D","R","R","Split"
"X2415","Kansas",2024,"D","R","R","Split"
"X2515","Kansas",2025,"D","R","R","Split"
"X1016","Kentucky",2010,"D","R","D","Split"
"X1116","Kentucky",2011,"D","R","D","Split"
"X1216","Kentucky",2012,"D","R","D","Split"
"X1316","Kentucky",2013,"D","R","D","Split"
"X1416","Kentucky",2014,"D","R","D","Split"
"X1516","Kentucky",2015,"D","R","D","Split"
"X1616","Kentucky",2016,"R","R","D","Split"
"X1716","Kentucky",2017,"R","R","R","R"
"X1816","Kentucky",2018,"R","R","R","R"
"X1916","Kentucky",2019,"R","R","R","R"
"X2016","Kentucky",2020,"D","R","R","Split"
"X2116","Kentucky",2021,"D","R","R","Split"
"X2216","Kentucky",2022,"D","R","R","Split"
"X2316","Kentucky",2023,"D","R","R","Split"
"X2416","Kentucky",2024,"D","R","R","Split"
"X2516","Kentucky",2025,"D","R","R","Split"
"X1017","Louisiana",2010,"R","D","D","Split"
"X1117","Louisiana",2011,"R","R","R","R"
"X1217","Louisiana",2012,"R","R","R","R"
"X1317","Louisiana",2013,"R","R","R","R"
"X1417","Louisiana",2014,"R","R","R","R"
"X1517","Louisiana",2015,"R","R","R","R"
"X1617","Louisiana",2016,"D","R","R","Split"
"X1717","Louisiana",2017,"D","R","R","Split"
"X1817","Louisiana",2018,"D","R","R","Split"
"X1917","Louisiana",2019,"D","R","R","Split"
"X2017","Louisiana",2020,"D","R","R","Split"
"X2117","Louisiana",2021,"D","R","R","Split"
"X2217","Louisiana",2022,"D","R","R","Split"
"X2317","Louisiana",2023,"D","R","R","Split"
"X2417","Louisiana",2024,"R","R","R","R"
"X2517","Louisiana",2025,"R","R","R","R"
"X1018","Maine",2010,"D","D","D","D"
"X1118","Maine",2011,"R","R","R","R"
"X1218","Maine",2012,"R","R","R","R"
"X1318","Maine",2013,"R","D","D","Split"
"X1418","Maine",2014,"R","D","D","Split"
"X1518","Maine",2015,"R","R","D","Split"
"X1618","Maine",2016,"R","R","D","Split"
"X1718","Maine",2017,"R","R","D","Split"
"X1818","Maine",2018,"R","R","D","Split"
"X1918","Maine",2019,"D","D","D","D"
"X2018","Maine",2020,"D","D","D","D"
"X2118","Maine",2021,"D","D","D","D"
"X2218","Maine",2022,"D","D","D","D"
"X2318","Maine",2023,"D","D","D","D"
"X2418","Maine",2024,"D","D","D","D"
"X2518","Maine",2025,"D","D","D","D"
"X1019","Maryland",2010,"D","D","D","D"
"X1119","Maryland",2011,"D","D","D","D"
"X1219","Maryland",2012,"D","D","D","D"
"X1319","Maryland",2013,"D","D","D","D"
"X1419","Maryland",2014,"D","D","D","D"
"X1519","Maryland",2015,"R","D","D","Split"
"X1619","Maryland",2016,"R","D","D","Split"
"X1719","Maryland",2017,"R","D","D","Split"
"X1819","Maryland",2018,"R","D","D","Split"
"X1919","Maryland",2019,"R","D","D","Split"
"X2019","Maryland",2020,"R","D","D","Split"
"X2119","Maryland",2021,"R","D","D","Split"
"X2219","Maryland",2022,"R","D","D","Split"
"X2319","Maryland",2023,"D","D","D","D"
"X2419","Maryland",2024,"D","D","D","D"
"X2519","Maryland",2025,"D","D","D","D"
"X1020","Massachusetts",2010,"D","D","D","D"
"X1120","Massachusetts",2011,"D","D","D","D"
