state,benefits_total,benefits_federal,benefits_state,administration_total,administration_federal,administration_state,medicaid_total,medicaid_federal,medicaid_state,year
delaware,3136.940055,2254.575328,882.364727,102.578827,63.985781,38.593046,3239.518882,2318.5611089999998,920.957773,2022
florida,32667.45433,22212.284978,10455.169352,606.177304,364.809411,241.367893,33273.631634,22577.094388999998,10696.537245000001,2022
georgia,14339.599611,10664.008375,3675.591236,536.490788,338.35238,198.138408,14876.090398999999,11002.360755,3873.729644,2022
hawaii,2990.024469,2130.218145,859.806324,112.629811,74.128121,38.50169,3102.6542799999997,2204.346266,898.3080140000001,2022
idaho,3195.270944,2550.898962,644.371982,134.872518,86.746724,48.125794,3330.143462,2637.6456860000003,692.497776,2022
illinois,25956.045305,17224.731487,8731.313818,1016.547902,626.257649,390.290253,26972.593206999998,17850.989136,9121.604071,2022
indiana,16850.88579,13042.312817,3808.572973,471.165232,279.944998,191.220234,17322.051022,13322.257815,3999.7932069999997,2022
iowa,6614.098328,4905.797216,1708.301112,162.727528,110.209214,52.518314,6776.825856,5016.00643,1760.819426,2022
kansas,4301.338042,2956.850005,1344.488037,250.133754,165.555796,84.577958,4551.471796000001,3122.405801,1429.0659950000002,2022
kentucky,14590.469639,12164.024261,2426.445378,286.164402,192.840391,93.324011,14876.634041000001,12356.864652,2519.769389,2022
louisiana,14673.978206,11790.08049,2883.897716,365.062685,240.126943,124.935742,15039.040891,12030.207433,3008.833458,2022
maine,3785.78857,2879.337564,906.451006,166.571998,111.208069,55.363929,3952.360568,2990.5456329999997,961.814935,2022
maryland,14343.522494,9608.858558,4734.663936,500.579617,322.263042,178.316575,14844.102111,9931.1216,4912.980511,2022
massachusetts,20864.779727,13427.709114,7437.070613,1158.648734,678.219082,480.429652,22023.428461,14105.928195999999,7917.500265,2022
michigan,21023.267979,16123.107076,4900.160903,672.542647,424.087974,248.454673,21695.810626,16547.19505,5148.615576,2022
minnesota,16158.756247,10707.750869,5451.005378,738.234825,427.166677,311.068148,16896.991072,11134.917545999999,5762.073526,2022
mississippi,5943.740111,5062.430879,881.309232,198.07077,130.829692,67.241078,6141.810881,5193.260571,948.55031,2022
missouri,13013.125297,10302.975845,2710.149452,427.195725,260.46649,166.729235,13440.321022,10563.442335000002,2876.878687,2022
montana,2343.639013,1929.139179,414.499834,104.587088,73.494803,31.092285,2448.226101,2002.633982,445.592119,2022
nebraska,3295.908995,2353.80139,942.107605,185.387645,124.751562,60.636083,3481.2966399999996,2478.552952,1002.743688,2022
nevada,5052.662737,3976.46144,1076.201297,218.379313,133.621505,84.757808,5271.04205,4110.082945,1160.9591050000001,2022
new hampshire,2460.870676,1600.540136,860.33054,150.897071,102.332775,48.564296,2611.767747,1702.8729110000002,908.894836,2022
new jersey,20872.611334,14229.180665,6643.430669,1013.341121,616.223512,397.117609,21885.952455000002,14845.404177,7040.548278,2022
new mexico,8257.96573,7073.874253,1184.091477,287.14019,191.907415,95.232775,8545.10592,7265.781668,1279.324252,2022
new york,80518.406335,52155.447239,28362.959096,2046.365369,1180.380763,865.984606,82564.77170400001,53335.828002,29228.943701999997,2022
north carolina,18403.697744,13966.538453,4437.159291,1063.403416,678.971041,384.432375,19467.101160000002,14645.509494,4821.591666,2022
north dakota,1524.148076,1076.070731,448.077345,96.869343,66.479164,30.390179,1621.017419,1142.549895,478.46752399999997,2022
ohio,30024.849008,23179.262283,6845.586725,1035.01681,622.308614,412.708196,31059.865818000002,23801.570897,7258.294921,2022
oklahoma,7523.240743,6353.455958,1169.784785,218.153883,128.135026,90.018857,7741.394626,6481.5909839999995,1259.803642,2022
oregon,13083.208627,10174.121572,2909.087055,612.546633,351.508026,261.038607,13695.75526,10525.629598,3170.125662,2022
pennsylvania,41178.251107,28126.379693,13051.871414,1116.674296,708.452848,408.221448,42294.925402999994,28834.832541,13460.092862,2022
rhode island,3392.593755,2394.075091,998.518664,191.087645,122.517619,68.570026,3583.6814,2516.5927100000004,1067.08869,2022
south carolina,7544.266509,5887.061916,1657.204593,382.030212,239.662031,142.368181,7926.296721,6126.7239469999995,1799.572774,2022
south dakota,1246.309725,886.077972,360.231753,73.760369,46.901409,26.85896,1320.0700940000002,932.9793810000001,387.09071300000005,2022
tennessee,11264.609657,8322.879925,2941.729732,818.603739,573.279521,245.324218,12083.213396000001,8896.159446,3187.05395,2022
