state_name,medicaid_births,pct_medicaid_births,year
indiana,"30,231",0.3845400427,2020
iowa,"13,892",0.3846707648,2020
kansas,"10,689",0.3109436816,2020
kentucky,"24,839",0.4807424325,2020
louisiana,"35,197",0.6139582752,2020
maine,"4,458",0.3863419707,2020
maryland,"26,939",0.3929602941,2020
massachusetts,"20,668",0.3111338592,2020
michigan,"41,101",0.3949209217,2020
minnesota,"20,489",0.3229513106,2020
mississippi,"21,303",0.6005412567,2020
missouri,"27,011",0.3898535036,2020
montana,"4,140",0.3836530442,2020
nebraska,"8,463",0.3484006422,2020
nevada,"14,950",0.4442397409,2020
new hampshire,"2,849",0.2416249682,2020
new jersey,"27,711",0.282898095,2020
new mexico,"11,908",0.5436698169,2020
new york,"96,111",0.4591187458,2020
north carolina,"47,634",0.4080699049,2020
north dakota,"2,440",0.2425688438,2020
ohio,"53,209",0.4118630555,2020
oklahoma,"24,198",0.5081158264,2020
oregon,"16,991",0.4266951281,2020
pennsylvania,"43,963",0.336383739,2020
rhode island,"4,883",0.4834174834,2020
south carolina,"26,844",0.4819043516,2020
south dakota,"3,183",0.290419708,2020
tennessee,"38,287",0.4865610187,2020
texas,"183,057",0.4971808034,2020
utah,"10,046",0.2198153254,2020
vermont,"2,048",0.3989869472,2020
virginia,"30,086",0.3175336943,2020
washington,"30,379",0.3656331993,2020
west virginia,"8,301",0.4791895168,2020
wisconsin,"21,628",0.3569330297,2020
wyoming,"1,831",0.2987924282,2020
alabama,"27,785",0.4786061253,2021
alaska,"3,565",0.380591438,2021
arizona,"36,256",0.4653216284,2021
arkansas,"14,375",0.3996941471,2021
california,"166,048",0.3947808886,2021
colorado,"22,334",0.3547951516,2021
connecticut,"12,930",0.362489487,2021
delaware,"3,873",0.3694905552,2021
district of columbia,"3,697",0.4269053118,2021
florida,"98,175",0.4539674466,2021
georgia,"57,113",0.4603177162,2021
hawaii,"5,416",0.3467349552,2021
idaho,"7,447",0.3320551121,2021
illinois,"49,868",0.3772477286,2021
indiana,"31,892",0.3989192705,2021
iowa,"13,918",0.3778471562,2021
kansas,"10,509",0.3028093935,2021
kentucky,"23,430",0.4487302256,2021
louisiana,"34,926",0.6080749343,2021
