year,state,democratic_pres_votes,republican_pres_votes,other_pres_votes,total_pres_votes
2012,michigan,2564569.0,2115256.0,51136.0,4730961.0
2012,minnesota,1546167.0,1320225.0,70169.0,2936561.0
2012,mississippi,562949.0,710746.0,11889.0,1285584.0
2012,missouri,1223796.0,1482440.0,51076.0,2757312.0
2012,montana,201839.0,267928.0,14165.0,483932.0
2012,nebraska,302081.0,475064.0,17234.0,794379.0
2012,nevada,531373.0,463567.0,19978.0,1014918.0
2012,new hampshire,369561.0,329918.0,11452.0,710931.0
2012,new jersey,2125101.0,1477568.0,37623.0,3640292.0
2012,new mexico,415335.0,335788.0,32635.0,783758.0
2012,new york,4324228.0,2223397.0,514300.0,7061925.0
2012,north carolina,2178391.0,2270395.0,56586.0,4505372.0
2012,north dakota,124966.0,188320.0,9646.0,322932.0
2012,ohio,2827621.0,2661407.0,91794.0,5580822.0
2012,oklahoma,443547.0,891325.0,0.0,1334872.0
2012,oregon,970488.0,754175.0,64607.0,1789270.0
2012,pennsylvania,2990274.0,2680434.0,71332.0,5742040.0
2012,rhode island,279677.0,157204.0,9171.0,446052.0
2012,south carolina,865941.0,1071645.0,26532.0,1964118.0
2012,south dakota,145039.0,210610.0,8166.0,363815.0
2012,tennessee,960709.0,1462330.0,35538.0,2458577.0
2012,texas,3308124.0,4569843.0,115884.0,7993851.0
2012,utah,251813.0,740600.0,25027.0,1017440.0
2012,vermont,199239.0,92698.0,7353.0,299290.0
2012,virginia,1971820.0,1822522.0,60147.0,3791770.0
2012,washington,1755396.0,1290670.0,79450.0,3125516.0
2012,west virginia,238269.0,417655.0,14516.0,670440.0
2012,wisconsin,1620985.0,1410966.0,39483.0,3071434.0
2012,wyoming,69286.0,170962.0,8813.0,249061.0
2016,alabama,729547.0,1318250.0,75570.0,2123367.0
2016,alaska,116454.0,163387.0,38557.0,318398.0
2016,arizona,1161167.0,1252401.0,190709.0,2604277.0
2016,arkansas,380494.0,684872.0,64530.0,1129896.0
2016,california,8753788.0,4483810.0,943997.0,14181595.0
2016,colorado,1338870.0,1202484.0,238866.0,2780220.0
2016,connecticut,897572.0,673215.0,76749.0,1647536.0
2016,delaware,235603.0,185127.0,22267.0,442997.0
2016,district of columbia,282830.0,12723.0,15715.0,311268.0
2016,florida,4504975.0,4617886.0,297178.0,9420039.0
2016,georgia,1877963.0,2089104.0,147644.0,4114711.0
2016,hawaii,266891.0,128847.0,33199.0,428937.0
2016,idaho,189765.0,409055.0,91613.0,690433.0
2016,illinois,3090729.0,2146015.0,321963.0,5558707.0
2016,indiana,1033126.0,1557286.0,144546.0,2734958.0
2016,iowa,653669.0,800983.0,111379.0,1566031.0
2016,kansas,427005.0,671018.0,86380.0,1184403.0
2016,kentucky,628854.0,1202971.0,92324.0,1924149.0
2016,louisiana,780154.0,1178638.0,70240.0,2029032.0
2016,maine,357735.0,335593.0,54599.0,747927.0
2016,maryland,1677928.0,943169.0,160349.0,2781446.0
2016,massachusetts,1995196.0,1090893.0,188466.0,3274555.0
2016,michigan,2268839.0,2279543.0,250902.0,4799284.0
2016,minnesota,1367716.0,1322951.0,254146.0,2944813.0
2016,mississippi,485131.0,700714.0,23512.0,1209357.0
2016,missouri,1071068.0,1594511.0,141802.0,2807381.0
2016,montana,177709.0,279240.0,40198.0,497147.0
2016,nebraska,284494.0,495961.0,63772.0,844227.0
2016,nevada,539260.0,512058.0,74067.0,1125385.0
2016,new hampshire,348526.0,345790.0,49980.0,744296.0
2016,new jersey,2148278.0,1601933.0,123835.0,3874046.0
2016,new mexico,385234.0,319667.0,93418.0,798319.0
2016,new york,4547562.0,2814589.0,345212.0,7707363.0
2016,north carolina,2189316.0,2362631.0,189617.0,4741564.0
2016,north dakota,93758.0,216794.0,33808.0,344360.0
2016,ohio,2394164.0,2841005.0,261318.0,5496487.0
2016,oklahoma,420375.0,949136.0,83481.0,1452992.0
2016,oregon,1002106.0,782403.0,216827.0,2001336.0
2016,pennsylvania,2926441.0,2970733.0,218228.0,6115402.0
2016,rhode island,252525.0,180543.0,31076.0,464144.0
2016,south carolina,855373.0,1155389.0,92265.0,2103027.0
2016,south dakota,117458.0,227721.0,24914.0,370093.0
2016,tennessee,870695.0,1522925.0,114407.0,2508027.0
2016,texas,3877868.0,4685047.0,406311.0,8969226.0
2016,utah,310676.0,515231.0,305523.0,1131430.0
2016,vermont,178573.0,95369.0,41135.0,315077.0
2016,virginia,1981473.0,1769443.0,233715.0,3925404.0
2016,washington,1742718.0,1221747.0,244749.0,3209214.0
2016,west virginia,188794.0,489371.0,34886.0,713051.0
2016,wisconsin,1381823.0,1404440.0,189490.0,2975753.0
2016,wyoming,55973.0,174419.0,25457.0,255849.0
2020,alabama,849624.0,1441170.0,32488.0,2323282.0
2020,alaska,153778.0,189951.0,13840.0,357569.0
2020,arizona,1672143.0,1661686.0,51465.0,3385294.0
2020,arkansas,423932.0,760647.0,34490.0,1219069.0
2020,california,11110250.0,6006429.0,384202.0,17500881.0
2020,colorado,1804352.0,1364607.0,88021.0,3256980.0
2020,connecticut,1080831.0,714717.0,28309.0,1823857.0
2020,delaware,296268.0,200603.0,7139.0,504010.0
2020,district of columbia,317323.0,18586.0,8447.0,344356.0
2020,florida,5297045.0,5668731.0,101680.0,11067456.0
2020,georgia,2474507.0,2461837.0,62138.0,4998482.0
2020,hawaii,366127.0,196855.0,11475.0,574457.0
2020,idaho,287021.0,554119.0,26221.0,867361.0
2020,illinois,3471915.0,2446891.0,114938.0,6033744.0
2020,indiana,1242416.0,1729519.0,61186.0,3033121.0
2020,iowa,759061.0,902009.0,29801.0,1690871.0
2020,kansas,570323.0,771406.0,30574.0,1372303.0
2020,kentucky,772285.0,1326418.0,36293.0,2134996.0
2020,louisiana,856034.0,1255776.0,36252.0,2148062.0
2020,maine,430473.0,359899.0,32162.0,822534.0
2020,maryland,1985023.0,976414.0,75594.0,3037031.0
2020,massachusetts,2382202.0,1167202.0,108601.0,3658005.0
2020,michigan,2804040.0,2649852.0,85410.0,5539302.0
2020,minnesota,1717077.0,1484065.0,76029.0,3277171.0
2020,mississippi,539398.0,756764.0,17597.0,1313759.0
2020,missouri,1253014.0,1718736.0,54212.0,3025962.0
2020,montana,244786.0,343602.0,15252.0,603640.0
2020,nebraska,374583.0,556846.0,20283.0,951712.0
2020,nevada,703314.0,669608.0,31989.0,1404911.0
2020,new hampshire,424937.0,365660.0,13236.0,803833.0
2020,new jersey,2608335.0,1883274.0,57744.0,4549353.0
2020,new mexico,501614.0,401894.0,20457.0,923965.0
2020,new york,5230985.0,3244798.0,185952.0,8661735.0
2020,north carolina,2684292.0,2758773.0,81737.0,5524802.0
2020,north dakota,114902.0,235595.0,11322.0,361819.0
2020,ohio,2679165.0,3154834.0,88203.0,5922202.0
2020,oklahoma,503890.0,1020280.0,36529.0,1560699.0
2020,oregon,1340383.0,958448.0,75490.0,2374321.0
2020,pennsylvania,3458229.0,3377674.0,79380.0,6915283.0
2020,rhode island,307486.0,199922.0,10349.0,517757.0
2020,south carolina,1091541.0,1385103.0,36685.0,2513329.0
2020,south dakota,150471.0,261043.0,11095.0,422609.0
2020,tennessee,1143711.0,1852475.0,57665.0,3053851.0
2020,texas,5259126.0,5890347.0,165583.0,11315056.0
2020,utah,560282.0,865139.0,69933.0,1495354.0
2020,vermont,242826.0,112708.0,15292.0,370826.0
2020,virginia,2413568.0,1962430.0,86602.0,4462600.0
2020,washington,2369612.0,1584651.0,133368.0,4087631.0
2020,west virginia,235984.0,545382.0,13286.0,794652.0
2020,wisconsin,1630673.0,1610065.0,56614.0,3297352.0
2020,wyoming,73491.0,193559.0,11453.0,278503.0
2024,alabama,772412.0,1462616.0,1574886.0,2265090.0
2024,arizona,1582860.0,1770242.0,3213344.0,3400726.0
2024,arkansas,396905.0,759241.0,820340.0,1182676.0
2024,california,9273813.0,6079570.0,19052085.0,15857842.0
2024,colorado,1728159.0,1377441.0,3541591.0,3190873.0
2024,connecticut,990946.0,736110.0,2011906.0,1757070.0
2024,delaware,289758.0,214351.0,588319.0,512912.0
2024,district of columbia,294185.0,21076.0,598978.0,325869.0
2024,florida,4683038.0,6110125.0,9508378.0,10935465.0
2024,georgia,2548017.0,2663117.0,5151303.0,5266403.0
2024,hawaii,313044.0,193661.0,636084.0,516701.0
2024,idaho,274972.0,605246.0,574776.0,905050.0
2024,illinois,3062863.0,2449079.0,6254097.0,5640313.0
2024,indiana,1163603.0,1720347.0,2387465.0,2944209.0
2024,iowa,707278.0,927019.0,1443765.0,1663506.0
2024,kansas,531989.0,741464.0,1094695.0,1304170.0
2024,kentucky,700921.0,1336230.0,1434770.0,2070079.0
2024,louisiana,766870.0,1208505.0,1565340.0,2006975.0
2024,maine,430041.0,376851.0,877610.0,824420.0
2024,maryland,1704901.0,1007006.0,3502237.0,2804342.0
2024,massachusetts,2126545.0,1251308.0,4348890.0,3473653.0
2024,michigan,2736533.0,2816636.0,5594349.0,5674452.0
2024,minnesota,1656979.0,1519032.0,3391867.0,3253920.0
2024,mississippi,465357.0,746305.0,945563.0,1226511.0
2024,missouri,1097007.0,1719797.0,2240977.0,2863767.0
2024,montana,231906.0,352079.0,482790.0,602963.0
2024,nebraska,369995.0,564816.0,757361.0,952182.0
2024,nevada,691822.0,734332.0,1411262.0,1453772.0
2024,new hampshire,418496.0,395531.0,849170.0,826205.0
2024,new jersey,2218076.0,1966571.0,4534771.0,4283266.0
2024,new mexico,478802.0,423391.0,978773.0,923362.0
2024,new york,4388298.0,3468060.0,8879603.0,7959365.0
2024,north carolina,2715380.0,2898428.0,5516104.0,5699152.0
2024,north dakota,112327.0,246505.0,233977.0,368155.0
2024,ohio,2533699.0,3180116.0,5148699.0,5795116.0
2024,oklahoma,499599.0,1036213.0,1029559.0,1566173.0
2024,oregon,1240600.0,919480.0,2565610.0,2244490.0
2024,pennsylvania,3422944.0,3543243.0,6936055.0,7056354.0
2024,rhode island,283750.0,214291.0,581275.0,511816.0
2024,south carolina,1028452.0,1483747.0,2092845.0,2548140.0
2024,south dakota,146859.0,272081.0,303700.0,428922.0
2024,tennessee,1056265.0,1966865.0,2153342.0,3063942.0
2024,texas,4835250.0,6393597.0,9847832.0,11406179.0
2024,utah,562566.0,883818.0,1192146.0,1513398.0
2024,vermont,235791.0,119395.0,485818.0,369422.0
2024,virginia,1604022.0,1632426.0,3279839.0,3308243.0
2024,washington,2245849.0,1530923.0,4639171.0,3924245.0
2024,west virginia,214309.0,533556.0,444432.0,763679.0
2024,wisconsin,1668229.0,1697626.0,3393521.0,3422918.0
2024,wyoming,69527.0,192633.0,145942.0,269048.0
