state,medicaid_births,pct_medicaid_births,year,num_enrollment,pct_enrollment,num_under_19,pct_under_19,pct_19_64,pct_over_65,governor,senate,house,total_gov,democratic_pres_votes,republican_pres_votes,other_pres_votes,total_pres_votes
new jersey,,,2014,,,,,,,r,d,d,split,,,,
new mexico,,,2014,,,,,,,r,d,d,split,,,,
new york,,,2014,,,,,,,d,r,d,split,,,,
north carolina,,,2014,,,,,,,r,r,r,r,,,,
north dakota,,,2014,,,,,,,r,r,r,r,,,,
ohio,,,2014,,,,,,,r,r,r,r,,,,
oklahoma,,,2014,,,,,,,r,r,r,r,,,,
oregon,,,2014,,,,,,,d,d,d,d,,,,
pennsylvania,,,2014,,,,,,,r,r,r,r,,,,
rhode island,,,2014,,,,,,,d,d,d,d,,,,
south carolina,,,2014,,,,,,,r,r,r,r,,,,
south dakota,,,2014,,,,,,,r,r,r,r,,,,
tennessee,,,2014,,,,,,,r,r,r,r,,,,
texas,,,2014,,,,,,,r,r,r,r,,,,
utah,,,2014,,,,,,,r,r,r,r,,,,
vermont,,,2014,,,,,,,d,d,d,d,,,,
virginia,,,2014,,,,,,,d,d,r,split,,,,
washington,,,2014,,,,,,,d,r,d,split,,,,
west virginia,,,2014,,,,,,,d,d,d,d,,,,
wisconsin,,,2014,,,,,,,r,r,r,r,,,,
wyoming,,,2014,,,,,,,r,r,r,r,,,,
alabama,,,2015,,,,,,,r,r,r,r,,,,
alaska,,,2015,,,,,,,i,r,r,split,,,,
arizona,,,2015,,,,,,,r,r,r,r,,,,
arkansas,,,2015,,,,,,,r,r,r,r,,,,
california,,,2015,,,,,,,d,d,d,d,,,,
colorado,,,2015,,,,,,,d,r,d,split,,,,
connecticut,,,2015,,,,,,,d,d,d,d,,,,
delaware,,,2015,,,,,,,d,d,d,d,,,,
florida,,,2015,,,,,,,r,r,r,r,,,,
georgia,,,2015,,,,,,,r,r,r,r,,,,
hawaii,,,2015,,,,,,,d,d,d,d,,,,
idaho,,,2015,,,,,,,r,r,r,r,,,,
illinois,,,2015,,,,,,,r,d,d,split,,,,
indiana,,,2015,,,,,,,r,r,r,r,,,,
iowa,,,2015,,,,,,,r,d,r,split,,,,
kansas,,,2015,,,,,,,r,r,r,r,,,,
kentucky,,,2015,,,,,,,d,r,d,split,,,,
louisiana,,,2015,,,,,,,r,r,r,r,,,,
maine,,,2015,,,,,,,r,r,d,split,,,,
maryland,,,2015,,,,,,,r,d,d,split,,,,
massachusetts,,,2015,,,,,,,r,d,d,split,,,,
michigan,,,2015,,,,,,,r,r,r,r,,,,
minnesota,,,2015,,,,,,,d,d,r,split,,,,
mississippi,,,2015,,,,,,,r,r,r,r,,,,
missouri,,,2015,,,,,,,d,r,r,split,,,,
montana,,,2015,,,,,,,d,r,r,split,,,,
nebraska,,,2015,,,,,,,r,-,-,-,,,,
nevada,,,2015,,,,,,,r,r,r,r,,,,
new hampshire,,,2015,,,,,,,d,r,r,split,,,,
new jersey,,,2015,,,,,,,r,d,d,split,,,,
new mexico,,,2015,,,,,,,r,d,r,split,,,,
new york,,,2015,,,,,,,d,r,d,split,,,,
north carolina,,,2015,,,,,,,r,r,r,r,,,,
north dakota,,,2015,,,,,,,r,r,r,r,,,,
ohio,,,2015,,,,,,,r,r,r,r,,,,
oklahoma,,,2015,,,,,,,r,r,r,r,,,,
oregon,,,2015,,,,,,,d,d,d,d,,,,
pennsylvania,,,2015,,,,,,,d,r,r,split,,,,
rhode island,,,2015,,,,,,,d,d,d,d,,,,
south carolina,,,2015,,,,,,,r,r,r,r,,,,
south dakota,,,2015,,,,,,,r,r,r,r,,,,
tennessee,,,2015,,,,,,,r,r,r,r,,,,
texas,,,2015,,,,,,,r,r,r,r,,,,
utah,,,2015,,,,,,,r,r,r,r,,,,
vermont,,,2015,,,,,,,d,d,d,d,,,,
virginia,,,2015,,,,,,,d,r,r,split,,,,
washington,,,2015,,,,,,,d,r,d,split,,,,
west virginia,,,2015,,,,,,,d,r,r,split,,,,
wisconsin,,,2015,,,,,,,r,r,r,r,,,,
wyoming,,,2015,,,,,,,r,r,r,r,,,,
alabama,"29,856",0.5047421007,2016,,,,,,,r,r,r,r,729547.0,1318250.0,75570.0,2123367.0
alaska,"4,418",0.39414756,2016,,,,,,,i,r,r,split,116454.0,163387.0,38557.0,318398.0
arizona,"44,242",0.523450071,2016,,,,,,,r,r,r,r,1161167.0,1252401.0,190709.0,2604277.0
arkansas,"15,090",0.3942624236,2016,,,,,,,r,r,r,r,380494.0,684872.0,64530.0,1129896.0
california,"212,090",0.4338753792,2016,,,,,,,d,d,d,d,8753788.0,4483810.0,943997.0,14181595.0
